ENSG	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30	LFQ.intensity.1_0h_RS1	LFQ.intensity.2_05h_RS1	LFQ.intensity.3_1h_RS1	LFQ.intensity.4_2h_RS1	LFQ.intensity.5_8h_RS1	LFQ.intensity.6_16h_RS1	LFQ.intensity.7_24h_RS1	LFQ.intensity.8_30h_RS1	LFQ.intensity.1_0h_RS3	LFQ.intensity.2_05h_RS3	LFQ.intensity.3_1h_RS3	LFQ.intensity.4_2h_RS3	LFQ.intensity.5_8h_RS3	LFQ.intensity.6_16h_RS3	LFQ.intensity.7_24h_RS3	LFQ.intensity.8_30h_RS3
ENSG00000033178	6.734277294	6.725009687	6.717343178	6.70937238	7.176804823	6.605199492	6.657357436	6.718507534	6.545379714	6.64095933	6.736069077	6.927353148	6.828400058	6.959704885	6.907659688	6.85202485	21.42603538	20.82322106	21.14935764	21.65896629	20.54886705	20.62390649	20.55290546	20.61719481	22.30802566	21.91053294	22.27520379	22.05715355	21.73673718	21.81503299	22.23093047	22.37246763
ENSG00000188739	10.72745534	10.71856583	10.70950348	10.68927562	10.50863805	10.70694297	10.77911542	10.82313137	10.39416812	10.5204686	10.64659638	10.90171031	10.59875847	10.69024673	10.6945753	10.69045132	19.56152662	20.62524509	21.27985765	18.53658872	20.62925344	18.39464691	18.49357404	19.63152879	17.85702118	17.91765179	18.37958143	19.18403267	17.86864172	18.58772625	15.95882455	18.37398663
ENSG00000164828	9.721870754	9.569629843	9.416720504	9.106147706	9.115699856	9.514884218	9.434029018	9.441686654	9.283981851	9.387418217	9.491307137	9.698840137	9.421490198	9.28823597	9.463583217	9.628162798	19.93847694	21.39021305	20.96698134	21.19736549	20.74673408	20.93531471	20.3069695	20.48305998	20.46093977	20.70918817	20.00388021	20.421317	20.56523227	20.0454024	20.34234383	19.07208549
ENSG00000125107	7.376105089	7.391225404	7.406995793	7.439991219	6.879258194	7.418340255	7.544111023	7.593944416	7.193002312	7.238662244	7.284130484	7.373370628	6.924055401	7.535429969	7.367842153	7.352234442	18.35677004	17.81977993	18.42193332	18.24474475	18.6877379	17.49724373	18.00409974	NA	19.94620952	18.3635017	18.2655418	19.55174205	17.17971475	16.84952728	17.1591618	18.00063826
ENSG00000159593	12.13543736	12.07828461	12.02124606	11.90600587	11.29021547	11.40852869	11.8707936	12.26017632	12.24695251	12.21499676	12.18279262	12.11800549	11.27561998	11.65270772	11.985322	12.23029746	21.10795518	20.54018859	21.0813482	20.71481567	20.5088161	NA	20.13570929	19.34121476	21.6005046	20.92114359	21.4342556	20.49414071	19.92950404	19.76720165	19.78502136	19.84545942
ENSG00000107819	10.05237774	9.977647011	9.902875463	9.752586103	9.089048221	9.520131927	9.806178181	10.00626202	9.959712969	9.817107162	9.674673199	9.389987004	9.652617441	9.602632527	9.615086777	9.631185085	21.85273827	21.97547296	21.40056887	21.23081323	21.81675244	21.82131466	21.7314019	22.08144573	21.59909742	21.49541005	20.95794372	21.25649435	21.53516524	21.02695293	21.62555725	20.66388119
ENSG00000184207	9.756077808	9.732443218	9.708734181	9.661255645	9.978398081	9.903547054	9.698116911	9.571477183	10.09305883	10.06058689	10.02873775	9.963802711	9.615711066	9.632315181	9.763221889	9.870083288	21.2927193	20.67098466	20.95098583	21.45055684	20.88881458	20.76425609	20.3126304	NA	22.29896759	21.63666179	22.38755985	22.2383266	22.26484917	21.78240799	22.03288247	22.33799639
ENSG00000205765	10.76872082	10.92443912	11.08011818	11.39312051	12.34982806	11.66671463	11.22115775	10.90748458	11.01393257	11.05034443	11.08716493	11.16333508	11.43558002	11.36125221	11.19891172	11.0668886	21.51749255	21.12823856	20.85711233	21.27161804	20.02837015	20.85703637	20.88166366	20.2510709	22.35941606	21.68384617	21.92234195	21.01971017	20.68739619	20.30362915	21.06690643	21.0194387
ENSG00000165609	12.60417841	12.55381881	12.50423311	12.40790621	12.30908436	12.48681015	12.53602039	12.55744845	12.56082625	12.4873393	12.41376631	12.26707202	12.81223362	12.69284705	12.61179417	12.55662366	24.16744877	23.76324317	23.98650385	23.98563559	23.48787535	23.63610859	23.58634779	22.95808537	24.59291914	24.22339311	24.26920831	24.18010341	24.09699819	24.00161436	24.06964578	24.23680954
ENSG00000132471	9.276357157	9.284594007	9.292776865	9.310023439	9.397745759	9.454497396	9.444718068	9.427862902	9.715226083	9.583425286	9.452236088	9.193847135	10.04479999	9.281749759	9.339304343	9.256167729	18.57817365	16.55857019	17.31857811	17.00140819	17.37653241	17.00766242	17.12827632	NA	17.68749871	16.62884421	17.69009349	17.8247599	17.07033062	17.01083403	18.20933913	18.13385463
