Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h	M/L LPS R1 0h	M/L LPS R1 01h	M/L LPS R1 02h	M/L LPS R1 04h	M/L LPS R1 06h	M/L LPS R1 09h	M/L LPS R1 12h	M/L LPS R2 0h	M/L LPS R2 01h	M/L LPS R2 02h	M/L LPS R2 04h	M/L LPS R2 06h	M/L LPS R2 09h	M/L LPS R2 12h
0610009D07Rik	5.29209	5.35252	5.26734	5.20898	5.18317	4.97045	4.8198	5.54966	5.19169	5.09895	5.09289	5.06456	5.14589	4.95071	31.4970298	32.40192052	29.80659727	28.47249271	27.68275123	26.18762069	24.69385006	32.34610261	31.06801056	28.46733941	27.70609097	28.46328423	26.92804694	25.55796503
1110004F10Rik	4.94012	4.74824	4.60679	4.53861	4.6219	4.67404	4.66236	4.74281	4.87438	4.83296	4.64394	4.59158	4.53064	4.57575	55.63342191	55.33876929	54.2898218	54.67906998	53.9426386	49.73245815	49.41493096	53.64647521	53.83581221	54.85668051	55.52104538	55.75131583	51.39811715	47.96746399
1110005A23Rik;Sarnp	5.34434	5.49208	5.45222	5.3166	5.06294	4.72231	4.71317	5.54638	5.55173	5.16334	5.0445	4.99317	4.9575	4.84704	548.5785928	499.6916613	528.6294162	559.1916108	525.7564491	517.135876	516.2594803	533.6318196	547.4284373	522.3235589	512.3725082	524.5736653	528.5633569	520.0669648
1110059G10Rik;mKIAA1143	2.41959	2.07059	2.00518	2.13574	2.23455	2.18308	2.12203	2.43235	1.60624	2.24997	2.32696	2.14226	2.30442	2.10857	13.58677496	13.43231142	13.29170955	12.8533086	12.24458602	11.64432885	10.52387832	13.85339692	13.26878493	13.26763059	12.85637939	11.76196331	11.45330975	11.1032895
1810013D10Rik	4.12388	3.6211	3.54111	3.77396	3.94211	4.05423	4.14595	4.21477	4.08874	3.59679	3.334	3.54969	4.17087	4.24749	52.96762409	54.67906906	57.09072195	59.26025393	62.73609286	65.79971497	63.46472388	53.35798919	57.48624864	57.18766639	58.73159169	60.14609946	62.08493774	66.10454493
1810029B16Rik	5.14519	5.51258	5.91409	6.02541	6.22496	6.58262	6.75511	5.11793	5.6202	5.7499	6.00496	6.2646	6.6222	6.78016	30.54671067	28.87735148	28.30201665	27.37845292	29.8955528	36.03332718	38.80591853	28.92117102	28.84614058	27.33447007	27.39078056	31.71744341	38.78141093	39.70975751
2010106G01Rik	4.74043	4.75878	4.89906	5.08691	5.3629	5.53363	5.47869	4.65488	4.66441	4.88691	5.16809	5.3971	5.53598	5.55302	16.84344376	16.46466902	17.0137841	17.49852622	17.35449351	17.88110358	17.80247481	15.56600899	16.31880253	17.26891237	17.96538191	17.91639695	18.12798168	17.78482331
2310014H01Rik	5.23303	5.06899	4.98839	4.75818	4.76565	4.89226	4.84532	5.08922	5.09783	4.95364	4.79934	4.79805	4.89719	4.91654	48.16326914	50.98180145	49.89259078	49.29661333	48.23738059	45.21793588	48.00814027	47.52428878	48.05143314	50.26128451	50.68422856	46.97980513	46.69276188	49.35701118
2310022A10Rik	4.31058	4.70228	4.10895	3.91433	3.84073	3.82348	3.94129	4.15046	4.35576	4.0387	3.76399	3.85016	4.2058	4.27676	11.01308197	11.26929093	10.43161313	10.08920074	9.739177125	9.13292752	8.738087965	10.94581845	10.76751368	10.3297766	10.50871333	10.22020289	8.976489368	8.772584184
2310045N01Rik	3.66157	3.53579	3.3876	3.43538	3.15584	2.944	3.10466	3.51268	3.3662	3.55448	3.52761	3.25459	2.90458	3.10471	23.9546211	23.43064546	23.36198795	23.51755864	22.31515249	21.22051307	22.17128805	24.90653471	23.10864301	22.79875537	22.47912869	23.03184942	22.23797527	21.37656492
