Gene_Group	R1_LPS_0h	R1_LPS_01h	R1_LPS_02h	R1_LPS_04h	R1_LPS_06h	R1_LPS_09h	R1_LPS_12h	R2_LPS_0h	R2_LPS_01h	R2_LPS_02h	R2_LPS_04h	R2_LPS_06h	R2_LPS_09h	R2_LPS_12h	ML_LPS_R1_0h	ML_LPS_R1_01h	ML_LPS_R1_02h	ML_LPS_R1_04h	ML_LPS_R1_06h	ML_LPS_R1_09h	ML_LPS_R1_12h	ML_LPS_R2_0h	ML_LPS_R2_01h	ML_LPS_R2_02h	ML_LPS_R2_04h	ML_LPS_R2_06h	ML_LPS_R2_09h	ML_LPS_R2_12h	HL_LPS_R1_0h	HL_LPS_R1_01h	HL_LPS_R1_02h	HL_LPS_R1_04h	HL_LPS_R1_06h	HL_LPS_R1_09h	HL_LPS_R1_12h	HL_LPS_R2_0h	HL_LPS_R2_01h	HL_LPS_R2_02h	HL_LPS_R2_04h	HL_LPS_R2_06h	HL_LPS_R2_09h	HL_LPS_R2_12h
Actn1	334.0887923	391.960311	511.541297	531.0319949	611.9008598	452.3316818	319.2158005	397.5358799	382.8024022	656.206942	716.0862712	678.5928526	533.4763425	474.3871541	4.86950266223	4.85804171788	4.82721891662	4.86102485815	4.72345426274	4.81065987659	4.77870199717	4.88745392807	4.76745145441	4.91243508704	4.75047458838	4.66347423899	4.8090277999	4.82364274547	2.55154974482	2.77492034838	2.89095583242	2.8365709915	2.91135668225	3.29623659924	3.34261880861	2.52077682433	2.76132916551	2.84804521807	2.8608991148	2.90951877669	3.2329651362	3.40358296776
Arfgef2	18.47821065	14.59344531	11.75848919	9.239034477	8.672212228	11.6695433	14.46212823	12.04291577	10.55687383	8.187290645	6.541666163	9.43557161	7.87333774	8.719757239	1.18870287003	1.18786202242	1.22432486262	1.13384403002	1.13639564626	1.13307893753	1.06717962217	1.24610911274	1.2284078833	1.25188690491	1.16909002368	1.26087762594	1.09306931774	1.06060862635	-0.417792452707	-0.515150767105	-0.298155889281	-0.317909667564	-0.18576904499	-0.13019891286	-0.155847893165	-0.394060114885	-0.409382589145	-0.417735913974	-0.296929617596	-0.227152795291	-0.127964322821	-0.0395437756719
Lasp1	278.3175601	224.103424	245.4311403	200.689859	215.4843112	242.4687109	213.4807253	232.2907072	221.0737915	239.6327131	182.321298	201.1328549	204.1100356	181.5604277	7.36477611873	7.40527071685	7.32543920084	7.32082553066	7.2819436686	7.35489659686	7.17067840774	7.31263808575	7.33651298263	7.25077738389	7.33340909849	7.23760355799	7.17584849286	7.19047228658	4.81006358013	4.81311776659	4.92914599124	4.83241568182	4.91437702142	5.24520356226	5.26683508419	4.84754273531	4.89364601919	4.839015989	4.90260244812	4.93077012359	5.25886557996	5.32026949727
H6pd	14.27726742	8.702466287	2.095479693	2.185774855	2.90415115	6.973600483	11.03474662	8.056340357	4.235599755	2.229256587	0.366763138	4.041949932	4.380367852	4.989424076	1.6689282477	1.50732489585	1.55517666854	1.49106951768	1.44470010298	1.33473031478	1.15360517421	1.56306530695	1.69740671953	1.69852566968	1.45633422013	1.45551313338	1.36662844778	1.27531044769	0.0736439307419	0.161929489661	0.232332327834	0.354150580164	0.273997441726	0.355781327865	0.577319276956	0.145329184354	0.121916244125	0.244544105019	0.334512371128	0.332271217046	0.341560612261	0.553757383083
Nrd1;AK138781;Mir761	98.70751088	100.6611109	103.0251027	72.46489998	53.90163627	63.40104089	84.64264998	98.01436879	137.3395723	103.9829966	81.04983246	67.24162827	72.83846786	67.32166343	2.03530720144	2.06518601919	1.99684124006	1.8736747945	1.87038639625	1.85516159571	1.83988251826	2.02977072812	2.01446427331	2.00025380998	1.96258763993	1.9347214221	1.89015780267	1.79990406033	-0.111225311255	-0.110421654465	0.104879684352	0.0536239776148	0.265658073028	0.402751061673	0.453807117608	-0.113945331948	-0.0244022457254	0.165573168217	0.146467613166	0.273274817843	0.386764917283	0.46381871867
Ebp	119.4907687	125.0357348	109.8454414	70.45404386	50.01539035	37.08340425	32.03192957	160.7041542	99.09053312	98.97678526	91.2722155	59.9967777	73.01107829	56.18799428	4.75779803565	4.65148633869	4.68501432489	4.73938521511	4.55699619685	4.52624973843	4.41694509855	4.66090259944	4.69220247275	4.66698618946	4.56643278257	4.60946549334	4.5579932231	4.42193082942	1.84654986691	2.21259874092	2.18391834493	2.25168856466	2.33632411584	2.41651457757	2.52658402715	1.9853906995	2.25827130225	2.34161219354	2.36221547934	2.42112123627	2.46953990615	2.51253134478
Huwe1;mKIAA0312;KIAA312	70.00536527	66.91313321	74.66762534	51.76109824	36.61169441	36.80239091	47.27273657	92.4775434	147.1750485	101.6948391	116.6519274	50.63049	94.82683701	68.74547905	1.70878600656	1.69468633956	1.74649534092	1.56812160059	1.60896894502	1.47886723217	1.42576944819	1.67306650831	1.65997059601	1.67779351559	1.55151302545	1.54866493747	1.45993690086	1.51181313488	-0.251036537871	0.0851296027366	0.160751896388	0.146912250867	0.164591614631	0.282796822281	0.292880426042	-0.245072511142	0.156525804966	0.185630057243	0.156211606245	0.261256823007	0.199619889935	0.355615437403
mKIAA0031;Eftud2	63.46815534	79.25115771	50.72046011	35.88509183	32.61211721	30.17718553	34.75871372	54.36834858	93.56931873	49.86928667	49.3482366	33.70107556	53.3998052	31.78137273	4.30368312212	4.34601777817	4.31447353417	4.25715982657	4.31004951608	4.31044714914	4.12052473292	4.32390913929	4.36505654155	4.33080573096	4.33367434492	4.29653389176	4.29977106115	4.1180055819	1.73723839278	1.99384814557	2.11746681726	2.15869807401	2.17211358535	2.31122437875	2.36805646001	1.88236381929	2.08860378157	2.22144073578	2.14172871194	2.22201742472	2.29978922029	2.37845736005
Dgkz	132.3951942	69.21617073	43.24456936	39.89298095	51.64494854	73.43442182	80.48757937	126.1357893	97.38118973	53.32607259	43.99309007	58.8359924	86.559469	79.11244568	2.46826259224	2.29072010845	2.37844284632	2.33237077872	2.29716683438	2.2829651219	2.21170506887	2.38080036974	2.27615659458	2.38897990199	2.24175979438	2.2239566107	2.3109539669	2.11272379231	0.621583710532	0.612690812745	0.744386789204	0.691040740048	0.855425704836	0.96501069987	1.10506846708	0.652659338779	0.674841896407	0.681732101933	0.831471118581	0.83186780413	0.998316516789	1.06768460862
Bcl2l1	89.53155015	186.5205088	321.4559935	195.3225743	141.1931675	119.6707052	111.6117241	150.838158	144.3272458	290.6215329	165.3949194	131.4252959	183.2700619	132.0041071	2.37530279204	2.34386902542	2.30002604822	2.2474433384	2.29059716466	2.08189420434	2.02195563662	2.4482405628	2.41271369229	2.41438668823	2.30034666606	2.23328777685	2.09660225277	1.9550443946	1.36709239741	1.44404445682	1.47678916653	1.58242855806	1.62590320317	1.75681565608	1.84345836107	1.42959870394	1.36202259611	1.55851718569	1.63504435692	1.6841044685	1.5882517935	1.75336207396
